,x,y,sort
437,-7.4654956,-2.512531,5
438,45.00195,0.4845058,0
439,12.391951,-10.5480795,9
440,20.606657,17.690332,2
441,-9.719061,-34.886444,4
442,22.250374,18.193401,2
443,18.928362,-13.366674,5
444,59.311504,2.0742884,0
445,-16.06755,20.877111,3
446,-15.459189,4.1558366,3
447,-23.860355,-23.857872,4
448,32.20849,-1.0536865,5
449,-26.220167,12.182795,4
450,-5.1737137,25.215225,8
451,2.4423018,-15.148575,8
452,-5.4792557,-26.278097,3
453,-1.2863028,-0.5482626,7
454,7.4294806,-10.99737,7
455,-34.897625,11.368377,6
456,4.0140905,30.203505,5
